tree_id	leaves_num	depth	nodes_num	root	feature_importance	class_current_depth	L	feature_importance	class_current_depth	R	feature_importance	class_current_depth	L_L	feature_importance	class_current_depth	L_R	feature_importance	class_current_depth	R_L	feature_importance	class_current_depth	R_R	feature_importance	class_current_depth	L_L_L	feature_importance	class_current_depth	L_L_R	feature_importance	class_current_depth	L_R_L	feature_importance	class_current_depth	L_R_R	feature_importance	class_current_depth	R_L_L	feature_importance	class_current_depth	R_L_R	feature_importance	class_current_depth	R_R_L	feature_importance	class_current_depth	R_R_R	feature_importance	class_current_depth
21	8443	29	16885	22_G<=0.5	0.4978042919877372	Animal	8_G<=0.5	0.5404714190285332	Plant	9_U<=0.5	0.21660377358490565	Animal	23_G<=0.5	0.4892778259289289	Animal	19_C<=0.5	0.6505893673322107	Plant	21_C<=0.5	0.258203125	Animal	17_A<=0.5	0.1413427561837456	Animal	20_C<=0.5	0.5057027496979164	Plant	25_U<=0.5	0.18572984749455337	Animal	1_U<=0.5	0.5478967495219885	Plant	1_A<=0.5	0.8247405966277561	Plant	24_G<=0.5	0.23611748508490132	Animal	10_C<=0.5	0.38451443569553806	Animal	2_U<=0.5	0.12072072072072072	Animal	1_C<=0.5	0.21639344262295082	Animal
22	8306	30	16611	22_G<=0.5	0.4979534344187588	Animal	8_C<=0.5	0.5386854370779035	Plant	21_U<=0.5	0.22275064267352185	Animal	19_C<=0.5	0.5670875240744704	Plant	10_U<=0.5	0.4250095165588123	Animal	24_A<=0.5	0.2563538122873724	Animal	23_U<=0.5	0.16241466043837585	Animal	7_A<=0.5	0.4794121926378583	Animal	23_U<=0.5	0.7325780981805698	Plant	11_C<=0.5	0.4487680086172075	Animal	5_C<=0.5	0.36773774748458293	Animal	9_U<=0.5	0.239873417721519	Animal	13_U<=0.5	0.5603112840466926	Plant	9_U<=0.5	0.17733782645324347	Animal	24_G<=0.5	0.07579462102689487	Animal
23	8526	30	17051	9_G<=0.5	0.49724086502609993	Animal	22_A<=0.5	0.46080639970576065	Animal	19_U<=0.5	0.5913435848720536	Plant	13_U<=0.5	0.48648015004688966	Animal	19_C<=0.5	0.26808760265936643	Animal	22_U<=0.5	0.644685972718652	Plant	18_U<=0.5	0.3580089342693044	Animal	8_G<=0.5	0.5065943992773261	Plant	22_U<=0.5	0.4345188089237375	Animal	2_C<=0.5	0.22283813747228381	Animal	17_G<=0.5	0.37649402390438247	Animal	7_A<=0.5	0.6881256612680068	Plant	19_C<=0.5	0.26933895921237694	Animal	17_U<=0.5	0.4013483146067416	Animal	14_G<=0.5	0.25192519251925194	Animal
24	8489	30	16977	19_C<=0.5	0.49871571795509156	Animal	21_U<=0.5	0.4274193548387097	Animal	22_U<=0.5	0.6489060489060489	Plant	22_U<=0.5	0.4656626700707753	Animal	19_U<=0.5	0.3088102636062945	Animal	22_A<=0.5	0.7039838337182448	Plant	24_A<=0.5	0.19572446555819478	Animal	8_G<=0.5	0.5103028938182637	Plant	19_G<=0.5	0.18906976744186046	Animal	5_C<=0.5	0.34020124580737904	Animal	22_G<=0.5	0.2559203444564047	Animal	12_G<=0.5	0.7436780861990508	Plant	21_C<=0.5	0.38874548270521425	Animal	14_C<=0.5	0.1832512315270936	Animal	11_C<=0.5	0.5333333333333333	Plant
25	8264	30	16527	22_A<=0.5	0.4992791449167288	Animal	6_U<=0.5	0.5262912113570561	Plant	17_A<=0.5	0.2869309838472834	Animal	1_A<=0.5	0.5510367406329575	Plant	2_A<=0.5	0.44333333333333336	Animal	3_A<=0.5	0.2571428571428571	Animal	18_U<=0.5	0.4	Animal	22_G<=0.5	0.5869114418150768	Plant	22_U<=0.5	0.4117020016581784	Animal	18_G<=0.5	0.46613039796782385	Animal	13_C<=0.5	0.36781206171107994	Animal	20_A<=0.5	0.29124447908547674	Animal	26_G<=0.5	0.1719662556781311	Animal	12_A<=0.5	0.30011723329425555	Animal	14_A<=0.5	0.5502645502645502	Plant
26	8421	30	16841	23_A<=0.5	0.49956085839754744	Animal	20_C<=0.5	0.5104863746119351	Plant	11_U<=0.5	0.2317124735729387	Animal	19_U<=0.5	0.46679939102939455	Animal	22_G<=0.5	0.6325155381092574	Plant	20_U<=0.5	0.24629878869448182	Animal	5_U<=0.5	0.20705346985210465	Animal	22_A<=0.5	0.5083515334215141	Plant	21_U<=0.5	0.3341841743569605	Animal	23_G<=0.5	0.6788417726170354	Plant	14_A<=0.5	0.25685339690107273	Animal	21_G<=0.5	0.27566539923954375	Animal	10_G<=0.5	0.17511520737327188	Animal	21_C<=0.5	0.15765765765765766	Animal	6_U<=0.5	0.3615023474178404	Animal
27	8291	30	16581	23_G<=0.5	0.49956085839754744	Animal	22_U<=0.5	0.5131454907300723	Plant	24_G<=0.5	0.2455109369898792	Animal	1_C<=0.5	0.5594514013118664	Plant	19_U<=0.5	0.17900172117039587	Animal	8_A<=0.5	0.19771302102545185	Animal	9_G<=0.5	0.6136363636363636	Plant	23_U<=0.5	0.577039992400494	Plant	22_C<=0.5	0.4691538649109973	Animal	9_U<=0.5	0.19867161554991208	Animal	17_C<=0.5	0.12466270912034538	Animal	4_G<=0.5	0.18185961713764814	Animal	18_C<=0.5	0.26499032882011603	Animal	9_C<=0.5	0.5454545454545454	Plant	20_A<=0.5	0.743801652892562	Plant
28	8463	30	16925	9_U<=0.5	0.49929571629795344	Animal	22_C<=0.5	0.5467069737388656	Plant	21_A<=0.5	0.3785197813179707	Animal	8_U<=0.5	0.5720703473977078	Plant	14_C<=0.5	0.3076738032234785	Animal	14_G<=0.5	0.35331858407079647	Animal	15_U<=0.5	0.4775427412344248	Animal	19_C<=0.5	0.6038701369120238	Plant	2_U<=0.5	0.47502327024511326	Animal	12_C<=0.5	0.27813953488372095	Animal	10_A<=0.5	0.40987124463519314	Animal	21_U<=0.5	0.31843986543313707	Animal	18_U<=0.5	0.4352766798418972	Animal	12_U<=0.5	0.38881371222372574	Animal	20_C<=0.5	0.6369529983792545	Plant
29	8565	30	17129	20_G<=0.5	0.4951031568481233	Animal	10_A<=0.5	0.5271831501043437	Plant	3_A<=0.5	0.38755049047893825	Animal	14_C<=0.5	0.49173282397182594	Animal	9_U<=0.5	0.618728323699422	Plant	17_U<=0.5	0.4149721800708144	Animal	4_C<=0.5	0.3194269917064589	Animal	22_A<=0.5	0.4733028823436762	Animal	3_G<=0.5	0.5494451294697904	Plant	22_G<=0.5	0.6819138230719971	Plant	23_U<=0.5	0.2808219178082192	Animal	22_G<=0.5	0.44836236933797907	Animal	18_U<=0.5	0.32656826568265684	Animal	10_G<=0.5	0.28427988704110446	Animal	10_C<=0.5	0.46085858585858586	Animal
30	8421	30	16841	8_G<=0.5	0.5015494241445024	Plant	1_U<=0.5	0.45239974173183156	Animal	23_G<=0.5	0.6124784110535406	Plant	2_G<=0.5	0.3813401353870303	Animal	22_A<=0.5	0.5199944006345948	Plant	18_C<=0.5	0.6248950579280237	Plant	13_G<=0.5	0.27685325264750377	Animal	23_U<=0.5	0.34796758767268865	Animal	10_A<=0.5	0.47560975609756095	Animal	19_G<=0.5	0.54830740117746	Plant	3_A<=0.5	0.29621936019941836	Animal	1_U<=0.5	0.5756539715353423	Plant	7_A<=0.5	0.7419659735349716	Plant	25_A<=0.5	0.3245967741935484	Animal	14_U<=0.5	0.13333333333333333	Animal
